Name,NameNo,Bank,OutAccountNumber,InAccountNumber,TransactionDate,TransactionTime,TransactionType,TransactionChannel,TransactionMeans,Briefs,CurrencySeparation,ForeignCurrencyTransactionAmt,AmountPaid,AmountDeposit,Balance,FinancialInstitution,ShopName
강감찬,1000000000032,우리은행,12098765665272,12098765665263,5/20/19,17:04:11,출금,대체,ATM,내부거래,KRW,0.00,500000000 ,,21000000000 ,씨티은행,인천
유관순,1000000000033,우리은행,12098765665273,12098765665263,5/21/19,18:04:11,출금,대체,ATM,내부거래,KRW,0.00,430000000 ,,327799990 ,씨티은행,화성
김갑동,1000000000034,우리은행,12098765665274,12098765665263,5/22/19,10:10:10,출금,대체,ATM,내부거래,KRW,0.00,10000000 ,,25167890 ,씨티은행,화정
외곽,1000000000035,우리은행,12098765665275,12098765665263,5/23/19,8:07:06,출금,대체,인터넷뱅킹,세금정산,KRW,0.00,9000000000 ,,436755000 ,씨티은행,시청점
나홀로,1000000000036,우리은행,12098765665276,12098765665263,5/24/19,16:07:50,출금,대체,인터넷뱅킹,녹차구입,KRW,0.00,200000000 ,,32000 ,씨티은행,시청점
자랑,1000000000037,우리은행,12098765665277,12098765665263,5/25/19,13:04:00,출금,대체,인터넷뱅킹,생활비,KRW,0.00,1000000000 ,,2177541100 ,씨티은행,시청점
장자방,1000000000038,우리은행,12098765665278,12098765665263,5/26/19,11:14:12,출금,대체,인터넷뱅킹,공사비,KRW,0.00,750000000 ,,321687650 ,씨티은행,시청점
하나로,1000000000039,중소기업은행,12098765665279,12098765665263,4/30/19,10:13:00,입금,수표,창구,,KRW,0.00,,1000000000000 ,100000000 ,산업은행,남성점
비트,1000000000040,하나은행,12098765665280,12098765665263,6/20/19,9:08:01,입금,수표,창구,,KRW,0.00,,300000000 ,100001 ,산업은행,남성점
개고생,1000000000041,새마을금고,12098765665281,12098765665263,6/21/19,16:09:45,입금,수표,창구,,KRW,0.00,,29102999999 ,100000002 ,산업은행,남성점
나홀로,1000000000042,축협,12098765665282,12098765665263,6/22/19,17:09:45,입금,수표,창구,,KRW,0.00,,32000191991 ,1000003 ,산업은행,남성점
장자방,1000000000043,카카오뱅크,12098765665283,12098765665263,6/23/19,18:09:45,출금,수표,창구,,KRW,0.00,3000000000 ,,100000004 ,산업은행,남성점
